,path_x,sentence
22,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18322573_5.mp3,caeremos y nos haremos pedazos antes de estabilizar el barco .
23,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18325582_6.mp3,¡No se oye!
24,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18336252_6.mp3,"allí nos dejó solos , porque tenía que asistir al coro para rezar los maitines ."
25,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18337708_9.mp3,que vaya todo el mundo a su puesto . ¡ vamos !
26,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18339318_9.mp3,y estaba raro . creo que ocultaba algo .
27,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18339487_6.mp3,"vino presuroso mi caballerango a tenerme el estribo , pero yo rehusé apearme ."
28,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18339773_10.mp3,"manos del mar que se agarraban a la barca ,"
29,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18340473_6.mp3,En zonas costeras existe un mayor acúmulo de moléculas de agua en el aire.
30,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18343045_6.mp3,te odio y no hay nada en este mundo que pueda cambiar eso .
31,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18344744_5.mp3,El perro de los vecinos ha bordado toda la noche.
32,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18344770_6.mp3,¿Tiene cerveza sin alcohol?
33,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18344846_8.mp3,muchas gracias . de nada .
34,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18344853_5.mp3,la Niña Chole inclinó los ojos poniéndose encendida :
35,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18345900_10.mp3,el mayordomo inclinó la cabeza tristemente :
36,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18345948_6.mp3,"una bala , señor ."
37,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18346015_5.mp3,había gente de toda laya :
38,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18348938_7.mp3,"vamos, con brillo."
39,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18353926_10.mp3,a espaldas del jacal hay un reñidero de gallos.
40,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18354004_5.mp3,"usanza mexicana que muestra amor y majeza, el viejo jarocho continuó:"
41,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18354207_9.mp3,"felices seis, Ainhoa. ¡ bien! ¿ te ha gustado?"
42,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18354626_9.mp3,"Trabajo de común, trabajo de ningún."
43,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18354849_9.mp3,Eso es todo lo que quería decir.
44,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18356380_7.mp3,A ver cuando ordenas la habitación.
45,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18356438_5.mp3,Brión bajó la voz para responder:
46,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18359112_6.mp3,El referéndum fue la excusa para abrir el gimnasio de la escuela y limpiarlo.
47,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18362287_7.mp3,Cuanto más tienes más quieres.
48,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18362878_10.mp3,"En Madrid hay muchos museos como ""El Prado"", ""Reina Sofía"", etc..."
49,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18363245_7.mp3,El siglo veinte es el más trágico de la historia.
50,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18364492_9.mp3,"El abril, aguas mil"
51,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18364736_8.mp3,Convoca una reunión y ponte alegre.
52,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18365307_9.mp3,A ese grupo de amigos les gusta comer helados por la tarde.
53,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18365370_10.mp3,"Donde menos se piensa, se levanta la liebre."
54,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18365465_9.mp3,Debemos estar aquí para él cuando nos necesite.
55,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18365479_7.mp3,"En esta playa, antes había muchas conchas."
56,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18366852_8.mp3,"Encima de la leche, nada eches."
57,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18369835_10.mp3,"A dineros pagados, brazos cruzados."
58,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18370898_6.mp3,Arrieros somos y en el camino nos encontraremos.
59,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18370926_5.mp3,"Cuanto antes nos mudemos, mejor."
60,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18371032_10.mp3,"A grandes males, grandes remedios."
61,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18371105_10.mp3,El patinete no baja bien de la acera.
62,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18371319_8.mp3,A veces sueño que me caigo de la cama.
63,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18372888_6.mp3,"A sereno otoño, invierno ventoso."
64,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18372995_9.mp3,Al alguacil local y yo parecemos estar en algún tipo de estación de combustible.
65,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18373002_10.mp3,El hombre y el oso cuanto más feo más hermoso.
66,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18375762_10.mp3,"Al amigo y al caballo, no hay que cansarlos."
67,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18376188_8.mp3,Dicen que la música calma a las fieras.
68,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18376204_9.mp3,Adela me trae de cabeza y me he enamorado.
69,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18376288_10.mp3,"Amigos al prestar, enemigos al devolver."
70,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18376289_5.mp3,Demasiado corto. Necesitamos más monos .
71,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18378151_6.mp3,De repente se encontró haciendo de ministro.
72,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18378738_8.mp3,El gobierno turco me da miedo.
73,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18385520_9.mp3,Dime con quién andas y te diré quién eres.
74,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18385618_7.mp3,"El ojo del amo, engorda al caballo."
75,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18387398_10.mp3,El terreno parece inestable.
76,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18388770_7.mp3,"El que calla, otorga."
77,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18395460_10.mp3,"Ay madre, y yo que pensaba que nos sobraría tiempo."
78,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18402120_7.mp3,era el magnífico pecado de las tragedias antiguas.
79,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18403069_8.mp3,que se ha reabsorbido.
80,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18403206_5.mp3,¡ todo el mundo arriba!
81,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18408794_8.mp3,Está bien. Así que quieres hacerlo a las malas ...
82,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18408825_8.mp3,"algo desnutridos y deshidratados,"
83,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18413578_10.mp3,"es normal confundirte con quien sea,"
84,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18424213_10.mp3,"No, en un par de días , todo será como antes. Ya verán ."
85,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18438508_6.mp3,pesan bastante. no pesan .
86,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18440013_8.mp3,"si me permite, le ayudo."
87,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18442032_6.mp3,"todavía volvióse una ó dos veces a mirar las dormidas olas,"
88,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18452302_5.mp3,de color morado.
89,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18456323_9.mp3,dice que los huevos eclosionan en menos de veinticuatro horas.
90,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18459620_6.mp3,"Dame pan, y dime tonto."
91,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18459622_9.mp3,"solos como la una, como los perros abandonados."
92,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18463552_9.mp3,son gente brava y me ayudarán...
93,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18465079_8.mp3,deje que me pegaras con todas tus fuerzas.
94,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18466813_10.mp3,no... no reacciona .
95,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18467411_8.mp3,"ahora mismo. ¡ no, es una mentirosa!"
96,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18469257_7.mp3,mira dentro de Bobby.
97,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18469469_10.mp3,"no tenemos luz, ni radio ni radar"
98,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18470976_9.mp3,"hemos tenido nuestros roces. los amigos tienen sus enganchadas,"
99,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18478975_6.mp3,"sin duda por eso, no miran como un crimen dar la muerte."
100,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18479426_5.mp3,"yo estaba a la cabeza de mi gente, que parecía temerosa ,"
101,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18479440_5.mp3,Las noticias de la fábrica me empiezan a hacer sufrir.
102,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18482603_8.mp3,el general Diego Bermúdez es tu padre.
103,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18493953_5.mp3,"de verano es gracioso, pero en una goleta ,"
104,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18494200_7.mp3,"Julia, muchas gracias por ayudarme."
105,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18506291_7.mp3,¿Alguna sugerencia?
106,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18506297_9.mp3,"por favor, por favor."
107,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18510483_6.mp3,como un diario.
108,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18510864_7.mp3,"con alas o sin alas, como vengan."
109,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18515621_6.mp3,"cuando la Niña Chole asomó en la puerta, ya parecía serena."
110,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18517428_9.mp3,"las campanas del convento tocaron a misa,"
111,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18518170_6.mp3,"que lo vea, al menos , el ojo humano."
112,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18518900_6.mp3,Logré una puntuación muy alta.
113,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18522809_10.mp3,las luces del amanecer cabrilleaban en los cristales.
114,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18522821_5.mp3,¿ ya lo habrá leído vuecencia?
115,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18528701_9.mp3,"por el amor de Dios, dese prisa."
116,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18531715_6.mp3,lo adecentan y ya tienen un pisito. eso o a dormir con todos .
117,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18533142_7.mp3,La vecina del cuarto es un caso como un capazo.
118,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18533733_7.mp3,"Ya, os lo tomáis a broma."
119,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18534754_9.mp3,Su padre hacía de camello y su madre de mula.
120,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18539131_5.mp3,la gente se va a poner nerviosa. que se preparen con los chalecos .
121,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18539419_6.mp3,los palacios de Palenque
122,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18540513_7.mp3,¡ Cuánto me alegro de que no seas un dinosaurio!
123,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18545832_8.mp3,Nos contó que tenías mucho miedo.
124,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18559624_5.mp3,al correo del mar. cuidado .
125,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18572638_7.mp3,"ciegos y tullidos, enanos y lacerados nos acosaban , nos perseguían"
126,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18572656_9.mp3,La joven se presentó diciendo que ya está la cena.
127,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18572757_7.mp3,Encendí la bujía y cerré la vidriera.
128,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18573886_5.mp3,"hazme el favor de bajarle leche, zumos y comida"
129,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18573925_8.mp3,Tenemos que poner en marcha esta caravana.
130,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18573940_6.mp3,que aprueba cuanto hace su señor.
131,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18574003_10.mp3,amarraremos un cabo al casco de proa a popa y colgaremos bidones
132,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18575919_6.mp3,¿ vas a matarme? ¡ oh!
133,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18582084_10.mp3,porque en el patio del colegio no paraba de recibir hostias
134,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18590075_9.mp3,"lanzando un graznido plañidero, que era su canto."
135,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18591812_9.mp3,"¿ Oh, qué? ¿ qué ? esto es plástico. él no puede volar ."
136,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18596453_7.mp3,para ponerse a filosofar con lo que es normal y no lo es.
137,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18596718_9.mp3,hubo otra ráfaga de voces violentas y apasionadas.
138,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18596799_6.mp3,sentía un fiero desdeño lleno de injurias altaneras
139,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18600114_8.mp3,La música estaba muy alta.
140,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18603041_5.mp3,para el hambre de medianoche.
141,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18605615_8.mp3,"Eres triste, extraño hombrecito , y tienes mi piedad. Adiós ."
142,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18605726_6.mp3,"Pues yo, no me fío nada."
143,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18605727_8.mp3,"ya nos tornábamos, cuando me sentí detenido por el brazo."
144,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18605873_6.mp3,cansado de ir a buscar al bebito todas las noches.
145,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18610401_7.mp3,"Oh, pues bien. Tú y yo podremos cocinar más tarde ."
146,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18617137_6.mp3,"Pan, uvas y queso, saben a beso."
147,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18625086_7.mp3,Habla alemán bastante bien.
148,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18625185_8.mp3,no quería que yo la tocase.
149,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18629225_8.mp3,"no, antes de que podamos abandonar el barco , habremos embarrancado ;"
150,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18629291_6.mp3,a otro sitio? porque si te dejo solo
151,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18629419_9.mp3,Tengo demasiada hambre para ir a montar en bici ahora.
152,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18630643_6.mp3,"no, no , no. no funciona , no ."
153,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18631827_6.mp3,tengo mucho miedo. no quiero volver a tener miedo .
154,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18631867_9.mp3,"pero podemos colaborar, estar juntos en esto."
155,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18633714_6.mp3,y les hago fotos.
156,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18634528_10.mp3,donde esperaba hacer un alto.
157,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18641295_7.mp3,¡ Los juguetes! ¡ los juguetes están vivos !
158,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18641310_5.mp3,Me da mucha pena María.
159,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18641433_7.mp3,pero va a ser viernes trece.
160,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18641456_6.mp3,"¡ su vida, no!"
161,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18641479_6.mp3,"¿ Uh, oh , sí todo el mundo ha elegido un compañero para la mudanza?"
162,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18643425_10.mp3,"Es demasiado tarde, el tiempo nos ha ganado."
163,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18643996_9.mp3,ni rifles ni escopetas.
164,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18649525_10.mp3,Es la editorial de los comunistas y los ateos.
165,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18656458_9.mp3,"burbuja, me lo prometiste."
166,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18656577_5.mp3,pues de algún hijo de mala madre.
167,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18656600_5.mp3,No es momento para asustarse.
168,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18657182_7.mp3,juraría que también tuvo miedo:
169,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18659911_10.mp3,"aunque fácilmente, como la sazón está peligrosa..."
170,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18664461_6.mp3,"en unos cenutrios para el amor. yo igual, de verdad , no valgo ."
171,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18667638_7.mp3,pero no puedo. se lo dije a Vilma . ¿ usted estuvo enamorado alguna vez?
172,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18668886_7.mp3,En su localismo se advierte una originalidad digna de ser apuntada.
173,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18669098_5.mp3,me pareció que a la vez reprochaban y consentían.
174,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18669213_6.mp3,Las calles están a rebosar en navidades.
175,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18673782_10.mp3,"No nos hacemos los graciosos, que nos pegan en la calle."
176,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18676019_5.mp3,"si toco el grifo, hago masa , que me puede dar calambre"
177,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18676098_8.mp3,"¡ voy, horita!..."
178,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18676763_8.mp3,"hazme caso, por favor."
179,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18683732_7.mp3,¡Se come tan mal por esos caminos!
180,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18683756_10.mp3,sin darme cuenta caí en la tentación de admirar como una gloria linajuda
181,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18684329_7.mp3,los patos nadan. pero no es de agua salada
182,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18687121_10.mp3,"palpitante de miedo, se refugiaba en mis brazos."
183,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18688018_5.mp3,echo un polo del fondo marino.
184,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18688193_6.mp3,"bueno, pues nada"
185,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18688832_5.mp3,sólo dos cosas han permanecido siempre arcanas para mí:
186,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18694479_10.mp3,"de emergencia, viento de cola veinte nudos y dos mil pies."
187,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18695912_5.mp3,¡ toda la vida!...
188,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18702131_6.mp3,"y tres también, y cuatro..."
189,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18709007_5.mp3,que te quede claro y que no se te olvide.
190,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18710018_5.mp3,"o sea, que lo alimente , que le saque de paseo."
191,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18711410_9.mp3,cuando tuvo el agua a la cincha comenzó a nadar
192,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18711425_10.mp3,francamente no.
193,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18711821_7.mp3,yo no estaba enamorada. no .
194,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18714388_5.mp3,De igual y no alterada superficie.
195,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18721940_9.mp3,Su desgracia me habría inclinado con invencible fuerza hacia ella.
196,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18725546_8.mp3,El agua retozaba en el surtidor y caía desbordante en el pilón.
197,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18726398_7.mp3,me presento.
198,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18728370_5.mp3,"hasta luego, chicos. hasta luego ."
199,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18728455_7.mp3,"a las mujeres para ser felices les basta con no tener escrúpulos, y probablemente"
200,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18728876_7.mp3,Por favor. Es mi amigo .
201,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18730226_7.mp3,"tranquila, Julia. vamos juntos ."
202,F:\common_voice\Proyecto\Scripts\data_proc\audios_proc\common_voice_es_18730296_8.mp3,¿ pues quiere que le diga una cosa?
